"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: bufferSize","Param: k"
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"0,890141","0,845499","ms/op",65536,3
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"1,052958","0,855755","ms/op",65536,4
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"1,420916","2,371757","ms/op",131072,2
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"0,869294","0,700145","ms/op",131072,3
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"1,189076","1,046987","ms/op",131072,4
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"0,980670","1,574311","ms/op",262144,2
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"1,112699","1,517324","ms/op",262144,3
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"1,546285","2,312222","ms/op",262144,4
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"0,633439","0,123085","ms/op",1024,2
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"1,689405","3,419287","ms/op",1024,3
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"1,027547","0,332543","ms/op",1024,4
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"0,739022","0,267157","ms/op",4096,2
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"0,888469","0,543804","ms/op",4096,3
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"0,953526","0,082123","ms/op",4096,4
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"0,662374","0,201004","ms/op",16384,2
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"0,853134","0,346204","ms/op",16384,3
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"0,940952","0,123336","ms/op",16384,4
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"0,653083","0,133376","ms/op",65536,2
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"0,839608","0,127822","ms/op",65536,3
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"0,921631","0,102503","ms/op",65536,4
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"0,647070","0,133420","ms/op",131072,2
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"0,789323","0,084495","ms/op",131072,3
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"0,956592","0,139128","ms/op",131072,4
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"0,665823","0,148176","ms/op",262144,2
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"1,589066","3,933907","ms/op",262144,3
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"0,979389","0,099374","ms/op",262144,4
