"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: bufferSize","Param: fileName","Param: j"
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"15,570104","3,960351","ms/op",4096,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\comp_cast_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,257680","0,049756","ms/op",4096,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\info_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"2,082086","0,383624","ms/op",4096,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\info_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"18,886012","1,142203","ms/op",4096,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\info_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"71,005624","6,556100","ms/op",4096,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\keyword.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1382,429194","118,330318","ms/op",4096,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\keyword.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"13569,152460","1099,773893","ms/op",4096,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\keyword.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,331321","0,739972","ms/op",4096,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\kind_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1,774923","0,434252","ms/op",4096,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\kind_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"16,756510","3,500880","ms/op",4096,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\kind_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,246720","0,060665","ms/op",4096,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\link_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1,807872","0,422413","ms/op",4096,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\link_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"16,386043","6,088144","ms/op",4096,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\link_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"11,871608","0,414837","ms/op",4096,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\movie_link.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"233,897006","15,678599","ms/op",4096,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\movie_link.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"2250,051260","37,015095","ms/op",4096,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\movie_link.csv,1000
